name,prefix,address,longitude,latitude,city
Kelo Reservoir,cgsw0095,raigarh,81.6336833,25.29131615,Raigarh
Hasdeo Barrage,cgsw0070,raigarh,83.5,22.5,Raigarh
Moran_Wadrafnagar,cgsw0140,raigarh,83.5,22.5,Raigarh
Mahanadi Sarangpal,73e1007c,Raigarh,83.5,22.5,Raigarh
Pairi Nahargaon,cgsw0057,"Dhamtari, Magarlod",81.5481305,20.7084545,Dhamtari
Kalma Barrage,cgsw0097e,Raigarh,83.5,22.5,Raigarh
PASAN,cgsw0024,Raipur,81.6336833,21.2379469,Raipur
Mayana,cgsw0094,"Uttar Bastar Kanke, Charama
",81.3663339,20.4929943,Charama
Maniyari,cgsw0076,"Vill- Khudiya, Tehsil- Lormi",82.1099649873738,21.98934025,Bilaspur
Awapalli,73e1130a,"Tehsil- Usur, Vill- Ilmidi",83.5,22.5,Raigarh
AMRAVATI,cgsw0100,Raipur,81.6336833,21.2379469,Raipur
Sakari_Goreghat,cgsw0054,"Tehsil- Bemetara, Vill- Lalpur",81.3979545573657,21.19903535,Durg
